EfficientNetB0 | эпоха 001/400 | ошибка_обучения=2.1753 | точность_обучения=0.5113 | ошибка_валидации=1.9614 | точность_валидации=0.5618 | precision=0.5647 | recall=0.5393 | ROC-AUC=0.5979
EfficientNetB0 | эпоха 002/400 | ошибка_обучения=2.2137 | точность_обучения=0.5113 | ошибка_валидации=1.7413 | точность_валидации=0.5843 | precision=0.5926 | recall=0.5393 | ROC-AUC=0.6437
EfficientNetB0 | эпоха 003/400 | ошибка_обучения=1.9750 | точность_обучения=0.5583 | ошибка_валидации=1.7867 | точность_валидации=0.6067 | precision=0.6092 | recall=0.5955 | ROC-AUC=0.6362
EfficientNetB0 | эпоха 004/400 | ошибка_обучения=1.9876 | точность_обучения=0.5620 | ошибка_валидации=1.7625 | точность_валидации=0.6011 | precision=0.5978 | recall=0.6180 | ROC-AUC=0.6437
EfficientNetB0 | эпоха 005/400 | ошибка_обучения=1.6651 | точность_обучения=0.5883 | ошибка_валидации=1.7008 | точность_валидации=0.6180 | precision=0.6154 | recall=0.6292 | ROC-AUC=0.6570
EfficientNetB0 | эпоха 006/400 | ошибка_обучения=1.8958 | точность_обучения=0.5564 | ошибка_валидации=1.6903 | точность_валидации=0.6124 | precision=0.6250 | recall=0.5618 | ROC-AUC=0.6500
EfficientNetB0 | эпоха 007/400 | ошибка_обучения=1.6250 | точность_обучения=0.6034 | ошибка_валидации=1.7572 | точность_валидации=0.6236 | precision=0.6341 | recall=0.5843 | ROC-AUC=0.6512
EfficientNetB0 | эпоха 008/400 | ошибка_обучения=1.8400 | точность_обучения=0.5620 | ошибка_валидации=1.5865 | точность_валидации=0.6236 | precision=0.6196 | recall=0.6404 | ROC-AUC=0.6850
EfficientNetB0 | эпоха 009/400 | ошибка_обучения=1.8148 | точность_обучения=0.5639 | ошибка_валидации=1.7631 | точность_валидации=0.5955 | precision=0.5934 | recall=0.6067 | ROC-AUC=0.6482
EfficientNetB0 | эпоха 010/400 | ошибка_обучения=1.8514 | точность_обучения=0.5865 | ошибка_валидации=1.7714 | точность_валидации=0.6236 | precision=0.6310 | recall=0.5955 | ROC-AUC=0.6627
EfficientNetB0 | эпоха 011/400 | ошибка_обучения=1.8040 | точность_обучения=0.5827 | ошибка_валидации=1.5775 | точность_валидации=0.6404 | precision=0.6404 | recall=0.6404 | ROC-AUC=0.6880
EfficientNetB0 | эпоха 012/400 | ошибка_обучения=1.6539 | точность_обучения=0.6165 | ошибка_валидации=1.6604 | точность_валидации=0.6180 | precision=0.6180 | recall=0.6180 | ROC-AUC=0.6714
