MobileNetV2 | эпоха 001/400 | ошибка_обучения=2.6885 | точность_обучения=0.5226 | ошибка_валидации=2.4314 | точность_валидации=0.4663 | precision=0.4674 | recall=0.4831 | ROC-AUC=0.4669
MobileNetV2 | эпоха 002/400 | ошибка_обучения=2.4127 | точность_обучения=0.5075 | ошибка_валидации=2.3190 | точность_валидации=0.4494 | precision=0.4516 | recall=0.4719 | ROC-AUC=0.4858
MobileNetV2 | эпоха 003/400 | ошибка_обучения=2.2962 | точность_обучения=0.4756 | ошибка_валидации=2.3209 | точность_валидации=0.4831 | precision=0.4845 | recall=0.5281 | ROC-AUC=0.4835
MobileNetV2 | эпоха 004/400 | ошибка_обучения=2.1016 | точность_обучения=0.5150 | ошибка_валидации=2.1760 | точность_валидации=0.4944 | precision=0.4950 | recall=0.5618 | ROC-AUC=0.4810
MobileNetV2 | эпоха 005/400 | ошибка_обучения=2.2612 | точность_обучения=0.4887 | ошибка_валидации=2.2087 | точность_валидации=0.5112 | precision=0.5093 | recall=0.6180 | ROC-AUC=0.5066
MobileNetV2 | эпоха 006/400 | ошибка_обучения=1.9736 | точность_обучения=0.5508 | ошибка_валидации=2.1962 | точность_валидации=0.4888 | precision=0.4900 | recall=0.5506 | ROC-AUC=0.4991
MobileNetV2 | эпоха 007/400 | ошибка_обучения=1.9244 | точность_обучения=0.5263 | ошибка_валидации=2.0876 | точность_валидации=0.5056 | precision=0.5046 | recall=0.6180 | ROC-AUC=0.5167
MobileNetV2 | эпоха 008/400 | ошибка_обучения=1.8206 | точность_обучения=0.5733 | ошибка_валидации=2.0399 | точность_валидации=0.5000 | precision=0.5000 | recall=0.5393 | ROC-AUC=0.5157
MobileNetV2 | эпоха 009/400 | ошибка_обучения=2.0017 | точность_обучения=0.5376 | ошибка_валидации=1.9603 | точность_валидации=0.5506 | precision=0.5429 | recall=0.6404 | ROC-AUC=0.5550
MobileNetV2 | эпоха 010/400 | ошибка_обучения=1.8910 | точность_обучения=0.5132 | ошибка_валидации=1.9704 | точность_валидации=0.5393 | precision=0.5361 | recall=0.5843 | ROC-AUC=0.5355
MobileNetV2 | эпоха 011/400 | ошибка_обучения=1.8297 | точность_обучения=0.5545 | ошибка_валидации=1.9164 | точность_валидации=0.5562 | precision=0.5510 | recall=0.6067 | ROC-AUC=0.5639
MobileNetV2 | эпоха 012/400 | ошибка_обучения=1.7189 | точность_обучения=0.5639 | ошибка_валидации=1.9776 | точность_валидации=0.5281 | precision=0.5253 | recall=0.5843 | ROC-AUC=0.5390
MobileNetV2 | эпоха 013/400 | ошибка_обучения=1.7530 | точность_обучения=0.5677 | ошибка_валидации=1.8057 | точность_валидации=0.5449 | precision=0.5385 | recall=0.6292 | ROC-AUC=0.5749
MobileNetV2 | эпоха 014/400 | ошибка_обучения=1.7693 | точность_обучения=0.5508 | ошибка_валидации=1.7764 | точность_валидации=0.5337 | precision=0.5306 | recall=0.5843 | ROC-AUC=0.5809
MobileNetV2 | эпоха 015/400 | ошибка_обучения=1.6688 | точность_обучения=0.5526 | ошибка_валидации=1.6909 | точность_валидации=0.5955 | precision=0.5914 | recall=0.6180 | ROC-AUC=0.5942
MobileNetV2 | эпоха 016/400 | ошибка_обучения=1.6018 | точность_обучения=0.6071 | ошибка_валидации=1.8127 | точность_валидации=0.5787 | precision=0.5700 | recall=0.6404 | ROC-AUC=0.5658
MobileNetV2 | эпоха 017/400 | ошибка_обучения=1.5902 | точность_обучения=0.5508 | ошибка_валидации=1.7318 | точность_валидации=0.5506 | precision=0.5446 | recall=0.6180 | ROC-AUC=0.5715
MobileNetV2 | эпоха 018/400 | ошибка_обучения=1.6266 | точность_обучения=0.5583 | ошибка_валидации=1.7250 | точность_валидации=0.5674 | precision=0.5612 | recall=0.6180 | ROC-AUC=0.6094
MobileNetV2 | эпоха 019/400 | ошибка_обучения=1.3982 | точность_обучения=0.6090 | ошибка_валидации=1.7733 | точность_валидации=0.5337 | precision=0.5288 | recall=0.6180 | ROC-AUC=0.5926
MobileNetV2 | эпоха 020/400 | ошибка_обучения=1.5570 | точность_обучения=0.6053 | ошибка_валидации=1.7299 | точность_валидации=0.5562 | precision=0.5543 | recall=0.5730 | ROC-AUC=0.5971
MobileNetV2 | эпоха 021/400 | ошибка_обучения=1.5671 | точность_обучения=0.5921 | ошибка_валидации=1.7605 | точность_валидации=0.6011 | precision=0.5938 | recall=0.6404 | ROC-AUC=0.5959
MobileNetV2 | эпоха 022/400 | ошибка_обучения=1.6895 | точность_обучения=0.5470 | ошибка_валидации=1.7056 | точность_валидации=0.5674 | precision=0.5600 | recall=0.6292 | ROC-AUC=0.5903
MobileNetV2 | эпоха 023/400 | ошибка_обучения=1.6730 | точность_обучения=0.5883 | ошибка_валидации=1.6409 | точность_валидации=0.5955 | precision=0.5934 | recall=0.6067 | ROC-AUC=0.6094
MobileNetV2 | эпоха 024/400 | ошибка_обучения=1.4236 | точность_обучения=0.6071 | ошибка_валидации=1.7015 | точность_валидации=0.5618 | precision=0.5545 | recall=0.6292 | ROC-AUC=0.6037
MobileNetV2 | эпоха 025/400 | ошибка_обучения=1.5703 | точность_обучения=0.5602 | ошибка_валидации=1.5545 | точность_валидации=0.6180 | precision=0.6154 | recall=0.6292 | ROC-AUC=0.6470
MobileNetV2 | эпоха 026/400 | ошибка_обучения=1.4600 | точность_обучения=0.5959 | ошибка_валидации=1.6463 | точность_валидации=0.5618 | precision=0.5567 | recall=0.6067 | ROC-AUC=0.5993
MobileNetV2 | эпоха 027/400 | ошибка_обучения=1.4872 | точность_обучения=0.5846 | ошибка_валидации=1.6095 | точность_валидации=0.5899 | precision=0.5816 | recall=0.6404 | ROC-AUC=0.6224
MobileNetV2 | эпоха 028/400 | ошибка_обучения=1.4432 | точность_обучения=0.6015 | ошибка_валидации=1.5850 | точность_валидации=0.6067 | precision=0.5979 | recall=0.6517 | ROC-AUC=0.6402
MobileNetV2 | эпоха 029/400 | ошибка_обучения=1.3263 | точность_обучения=0.6053 | ошибка_валидации=1.6897 | точность_валидации=0.5843 | precision=0.5789 | recall=0.6180 | ROC-AUC=0.6142
MobileNetV2 | эпоха 030/400 | ошибка_обучения=1.1925 | точность_обучения=0.6316 | ошибка_валидации=1.7116 | точность_валидации=0.6067 | precision=0.6173 | recall=0.5618 | ROC-AUC=0.6110
MobileNetV2 | эпоха 031/400 | ошибка_обучения=1.2754 | точность_обучения=0.6316 | ошибка_валидации=1.5592 | точность_валидации=0.5899 | precision=0.5889 | recall=0.5955 | ROC-AUC=0.6319
MobileNetV2 | эпоха 032/400 | ошибка_обучения=1.3077 | точность_обучения=0.6353 | ошибка_валидации=1.5824 | точность_валидации=0.6180 | precision=0.6061 | recall=0.6742 | ROC-AUC=0.6351
MobileNetV2 | эпоха 033/400 | ошибка_обучения=1.3915 | точность_обучения=0.6015 | ошибка_валидации=1.4579 | точность_валидации=0.6011 | precision=0.5938 | recall=0.6404 | ROC-AUC=0.6540
MobileNetV2 | эпоха 034/400 | ошибка_обучения=1.3388 | точность_обучения=0.6241 | ошибка_валидации=1.6208 | точность_валидации=0.6292 | precision=0.6264 | recall=0.6404 | ROC-AUC=0.6211
MobileNetV2 | эпоха 035/400 | ошибка_обучения=1.3975 | точность_обучения=0.6109 | ошибка_валидации=1.5052 | точность_валидации=0.6180 | precision=0.6082 | recall=0.6629 | ROC-AUC=0.6494
MobileNetV2 | эпоха 036/400 | ошибка_обучения=1.2765 | точность_обучения=0.6184 | ошибка_валидации=1.4767 | точность_валидации=0.6180 | precision=0.6154 | recall=0.6292 | ROC-AUC=0.6470
MobileNetV2 | эпоха 037/400 | ошибка_обучения=1.3547 | точность_обучения=0.6090 | ошибка_валидации=1.4988 | точность_валидации=0.6292 | precision=0.6322 | recall=0.6180 | ROC-AUC=0.6454
MobileNetV2 | эпоха 038/400 | ошибка_обучения=1.3137 | точность_обучения=0.6109 | ошибка_валидации=1.5186 | точность_валидации=0.6292 | precision=0.6186 | recall=0.6742 | ROC-AUC=0.6522
MobileNetV2 | эпоха 039/400 | ошибка_обучения=1.2804 | точность_обучения=0.6353 | ошибка_валидации=1.4729 | точность_валидации=0.6517 | precision=0.6364 | recall=0.7079 | ROC-AUC=0.6706
MobileNetV2 | эпоха 040/400 | ошибка_обучения=1.2755 | точность_обучения=0.6203 | ошибка_валидации=1.4914 | точность_валидации=0.6461 | precision=0.6512 | recall=0.6292 | ROC-AUC=0.6535
MobileNetV2 | эпоха 041/400 | ошибка_обучения=1.3788 | точность_обучения=0.6278 | ошибка_валидации=1.4111 | точность_валидации=0.6292 | precision=0.6292 | recall=0.6292 | ROC-AUC=0.6671
MobileNetV2 | эпоха 042/400 | ошибка_обучения=1.1629 | точность_обучения=0.6485 | ошибка_валидации=1.4495 | точность_валидации=0.6404 | precision=0.6263 | recall=0.6966 | ROC-AUC=0.6583
MobileNetV2 | эпоха 043/400 | ошибка_обучения=1.2275 | точность_обучения=0.6410 | ошибка_валидации=1.4111 | точность_валидации=0.6404 | precision=0.6289 | recall=0.6854 | ROC-AUC=0.6649
MobileNetV2 | эпоха 044/400 | ошибка_обучения=1.3442 | точность_обучения=0.6053 | ошибка_валидации=1.3939 | точность_валидации=0.6348 | precision=0.6364 | recall=0.6292 | ROC-AUC=0.6699
