epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,best_metric_value,epochs_without_improvement
1,3.023754216812469,2.717592902805494,0.4945652173913043,0.4925373134328358,0.358695652173913,0.41509433962264153,0.4887759924385634,0.41509433962264153,0
2,2.6710233711279354,2.537024912626847,0.4945652173913043,0.4918032786885246,0.32608695652173914,0.39215686274509803,0.5140595463137997,0.41509433962264153,1
3,2.7398688413284638,2.406816762426625,0.4945652173913043,0.4925373134328358,0.358695652173913,0.41509433962264153,0.5163043478260869,0.41509433962264153,2
4,2.5912630361515085,2.3385184433149253,0.4891304347826087,0.4861111111111111,0.3804347826086957,0.4268292682926829,0.5165406427221172,0.4268292682926829,0
5,2.461637500878219,2.3333231366198994,0.47282608695652173,0.4666666666666667,0.3804347826086957,0.41916167664670656,0.5135278827977316,0.4268292682926829,1
6,2.4146680484761247,2.3005173517310102,0.5108695652173914,0.5142857142857142,0.391304347826087,0.4444444444444444,0.5189035916824196,0.4444444444444444,0
7,2.379877188703516,2.3026178505109702,0.4945652173913043,0.4942528735632184,0.4673913043478261,0.48044692737430167,0.5068525519848771,0.48044692737430167,0
8,2.220775604248047,2.3438046704167905,0.5163043478260869,0.5172413793103449,0.4891304347826087,0.5027932960893855,0.503780718336484,0.5027932960893855,0
9,2.299427099280305,2.182204526403676,0.5434782608695652,0.5465116279069767,0.5108695652173914,0.5280898876404494,0.5356805293005671,0.5280898876404494,0
10,2.3850939771631263,2.0693820870440938,0.532608695652174,0.5333333333333333,0.5217391304347826,0.5274725274725275,0.5458412098298677,0.5280898876404494,1
11,2.262978818390396,2.285997857218203,0.5,0.5,0.4782608695652174,0.4888888888888889,0.5190217391304347,0.5280898876404494,2
12,2.186649297619914,2.233529298201851,0.5108695652173914,0.5108695652173914,0.5108695652173914,0.5108695652173914,0.5303638941398866,0.5280898876404494,3
13,2.1084510074867,2.2621456229168437,0.532608695652174,0.532608695652174,0.532608695652174,0.532608695652174,0.5248109640831757,0.532608695652174,0
14,2.2595184569830424,2.1784785208494766,0.5380434782608695,0.5353535353535354,0.5760869565217391,0.5549738219895288,0.536507561436673,0.5549738219895288,0
15,2.2225106011380205,2.115863800048828,0.5217391304347826,0.5196078431372549,0.5760869565217391,0.5463917525773195,0.535030718336484,0.5549738219895288,1
16,2.208952995447012,2.2186818537504776,0.532608695652174,0.53125,0.5543478260869565,0.5425531914893617,0.5129962192816635,0.5549738219895288,2
17,2.1349933121230578,2.060883107392684,0.5108695652173914,0.5113636363636364,0.4891304347826087,0.5,0.5418241965973535,0.5549738219895288,3
