ResNet101 | эпоха 001/400 | ошибка_обучения=0.6877 | точность_обучения=0.5789 | ошибка_валидации=0.6831 | точность_валидации=0.6180 | precision=0.5745 | recall=0.9101 | ROC-AUC=0.7221
ResNet101 | эпоха 002/400 | ошибка_обучения=0.6710 | точность_обучения=0.5489 | ошибка_валидации=0.6738 | точность_валидации=0.7022 | precision=0.6698 | recall=0.7978 | ROC-AUC=0.7343
ResNet101 | эпоха 003/400 | ошибка_обучения=0.6691 | точность_обучения=0.6316 | ошибка_валидации=0.6835 | точность_валидации=0.5955 | precision=0.6308 | recall=0.4607 | ROC-AUC=0.7108
ResNet101 | эпоха 004/400 | ошибка_обучения=0.6611 | точность_обучения=0.6485 | ошибка_валидации=0.6624 | точность_валидации=0.6629 | precision=0.6593 | recall=0.6742 | ROC-AUC=0.7368
ResNet101 | эпоха 005/400 | ошибка_обучения=0.6484 | точность_обучения=0.6617 | ошибка_валидации=0.6572 | точность_валидации=0.6966 | precision=0.6549 | recall=0.8315 | ROC-AUC=0.7423
ResNet101 | эпоха 006/400 | ошибка_обучения=0.6521 | точность_обучения=0.6485 | ошибка_валидации=0.6547 | точность_валидации=0.6910 | precision=0.6667 | recall=0.7640 | ROC-AUC=0.7457
ResNet101 | эпоха 007/400 | ошибка_обучения=0.6376 | точность_обучения=0.7049 | ошибка_валидации=0.6464 | точность_валидации=0.6910 | precision=0.6735 | recall=0.7416 | ROC-AUC=0.7392
ResNet101 | эпоха 008/400 | ошибка_обучения=0.6461 | точность_обучения=0.6523 | ошибка_валидации=0.6577 | точность_валидации=0.6910 | precision=0.6735 | recall=0.7416 | ROC-AUC=0.7456
ResNet101 | эпоха 009/400 | ошибка_обучения=0.6265 | точность_обучения=0.6729 | ошибка_валидации=0.6480 | точность_валидации=0.7079 | precision=0.6832 | recall=0.7753 | ROC-AUC=0.7447
ResNet101 | эпоха 010/400 | ошибка_обучения=0.6248 | точность_обучения=0.6992 | ошибка_валидации=0.6590 | точность_валидации=0.6854 | precision=0.6774 | recall=0.7079 | ROC-AUC=0.7319
ResNet101 | эпоха 011/400 | ошибка_обучения=0.6268 | точность_обучения=0.6842 | ошибка_валидации=0.6375 | точность_валидации=0.7247 | precision=0.7174 | recall=0.7416 | ROC-AUC=0.7512
ResNet101 | эпоха 012/400 | ошибка_обучения=0.6155 | точность_обучения=0.6823 | ошибка_валидации=0.6617 | точность_валидации=0.6798 | precision=0.6600 | recall=0.7416 | ROC-AUC=0.7255
ResNet101 | эпоха 013/400 | ошибка_обучения=0.6113 | точность_обучения=0.6917 | ошибка_валидации=0.6228 | точность_валидации=0.7022 | precision=0.6698 | recall=0.7978 | ROC-AUC=0.7585
ResNet101 | эпоха 014/400 | ошибка_обучения=0.6121 | точность_обучения=0.7030 | ошибка_валидации=0.6298 | точность_валидации=0.6854 | precision=0.6701 | recall=0.7303 | ROC-AUC=0.7522
ResNet101 | эпоха 015/400 | ошибка_обучения=0.6187 | точность_обучения=0.6673 | ошибка_валидации=0.6307 | точность_валидации=0.6966 | precision=0.6636 | recall=0.7978 | ROC-AUC=0.7581
ResNet101 | эпоха 016/400 | ошибка_обучения=0.6098 | точность_обучения=0.6936 | ошибка_валидации=0.6518 | точность_валидации=0.6966 | precision=0.6966 | recall=0.6966 | ROC-AUC=0.7330
ResNet101 | эпоха 017/400 | ошибка_обучения=0.5993 | точность_обучения=0.7086 | ошибка_валидации=0.6448 | точность_валидации=0.6854 | precision=0.6813 | recall=0.6966 | ROC-AUC=0.7257
ResNet101 | эпоха 018/400 | ошибка_обучения=0.5967 | точность_обучения=0.6748 | ошибка_валидации=0.6324 | точность_валидации=0.6966 | precision=0.6733 | recall=0.7640 | ROC-AUC=0.7407
ResNet101 | эпоха 019/400 | ошибка_обучения=0.5953 | точность_обучения=0.6955 | ошибка_валидации=0.6125 | точность_валидации=0.6910 | precision=0.6771 | recall=0.7303 | ROC-AUC=0.7571
ResNet101 | эпоха 020/400 | ошибка_обучения=0.5979 | точность_обучения=0.6936 | ошибка_валидации=0.6453 | точность_валидации=0.6910 | precision=0.6977 | recall=0.6742 | ROC-AUC=0.7515
ResNet101 | эпоха 021/400 | ошибка_обучения=0.5795 | точность_обучения=0.7124 | ошибка_валидации=0.6466 | точность_валидации=0.6798 | precision=0.6455 | recall=0.7978 | ROC-AUC=0.7238
ResNet101 | эпоха 022/400 | ошибка_обучения=0.5957 | точность_обучения=0.6805 | ошибка_валидации=0.6377 | точность_валидации=0.7247 | precision=0.7041 | recall=0.7753 | ROC-AUC=0.7508
ResNet101 | эпоха 023/400 | ошибка_обучения=0.5998 | точность_обучения=0.6992 | ошибка_валидации=0.6261 | точность_валидации=0.6742 | precision=0.6962 | recall=0.6180 | ROC-AUC=0.7519
ResNet101 | эпоха 024/400 | ошибка_обучения=0.5933 | точность_обучения=0.7068 | ошибка_валидации=0.6025 | точность_валидации=0.7079 | precision=0.7079 | recall=0.7079 | ROC-AUC=0.7744
ResNet101 | эпоха 025/400 | ошибка_обучения=0.5794 | точность_обучения=0.7180 | ошибка_валидации=0.6266 | точность_валидации=0.6966 | precision=0.6733 | recall=0.7640 | ROC-AUC=0.7572
ResNet101 | эпоха 026/400 | ошибка_обучения=0.5905 | точность_обучения=0.7011 | ошибка_валидации=0.6274 | точность_валидации=0.7022 | precision=0.7000 | recall=0.7079 | ROC-AUC=0.7509
ResNet101 | эпоха 027/400 | ошибка_обучения=0.6033 | точность_обучения=0.7218 | ошибка_валидации=0.6252 | точность_валидации=0.6966 | precision=0.6923 | recall=0.7079 | ROC-AUC=0.7623
ResNet101 | эпоха 028/400 | ошибка_обучения=0.5919 | точность_обучения=0.6861 | ошибка_валидации=0.5969 | точность_валидации=0.6798 | precision=0.6633 | recall=0.7303 | ROC-AUC=0.7723
ResNet101 | эпоха 029/400 | ошибка_обучения=0.5937 | точность_обучения=0.6729 | ошибка_валидации=0.5922 | точность_валидации=0.6798 | precision=0.6600 | recall=0.7416 | ROC-AUC=0.7805
ResNet101 | эпоха 030/400 | ошибка_обучения=0.5973 | точность_обучения=0.6823 | ошибка_валидации=0.6145 | точность_валидации=0.7247 | precision=0.7128 | recall=0.7528 | ROC-AUC=0.7730
ResNet101 | эпоха 031/400 | ошибка_обучения=0.5853 | точность_обучения=0.7068 | ошибка_валидации=0.6447 | точность_валидации=0.6742 | precision=0.6742 | recall=0.6742 | ROC-AUC=0.7438
ResNet101 | эпоха 032/400 | ошибка_обучения=0.5893 | точность_обучения=0.6936 | ошибка_валидации=0.6208 | точность_валидации=0.6966 | precision=0.7160 | recall=0.6517 | ROC-AUC=0.7585
ResNet101 | эпоха 033/400 | ошибка_обучения=0.5878 | точность_обучения=0.6898 | ошибка_валидации=0.6150 | точность_валидации=0.6966 | precision=0.7059 | recall=0.6742 | ROC-AUC=0.7688
ResNet101 | эпоха 034/400 | ошибка_обучения=0.5759 | точность_обучения=0.7406 | ошибка_валидации=0.5859 | точность_валидации=0.6854 | precision=0.6737 | recall=0.7191 | ROC-AUC=0.7895
ResNet101 | эпоха 035/400 | ошибка_обучения=0.5854 | точность_обучения=0.6917 | ошибка_валидации=0.5945 | точность_валидации=0.7135 | precision=0.7021 | recall=0.7416 | ROC-AUC=0.7817
ResNet101 | эпоха 036/400 | ошибка_обучения=0.5628 | точность_обучения=0.7312 | ошибка_валидации=0.6186 | точность_валидации=0.6798 | precision=0.7051 | recall=0.6180 | ROC-AUC=0.7537
ResNet101 | эпоха 037/400 | ошибка_обучения=0.5681 | точность_обучения=0.7218 | ошибка_валидации=0.5962 | точность_валидации=0.7079 | precision=0.7126 | recall=0.6966 | ROC-AUC=0.7774
ResNet101 | эпоха 038/400 | ошибка_обучения=0.5742 | точность_обучения=0.7180 | ошибка_валидации=0.6266 | точность_валидации=0.7079 | precision=0.7079 | recall=0.7079 | ROC-AUC=0.7723
ResNet101 | эпоха 039/400 | ошибка_обучения=0.5861 | точность_обучения=0.7011 | ошибка_валидации=0.5971 | точность_валидации=0.6966 | precision=0.7397 | recall=0.6067 | ROC-AUC=0.7779
ResNet101 | эпоха 040/400 | ошибка_обучения=0.5811 | точность_обучения=0.7011 | ошибка_валидации=0.6235 | точность_валидации=0.6966 | precision=0.7465 | recall=0.5955 | ROC-AUC=0.7677
ResNet101 | эпоха 041/400 | ошибка_обучения=0.5622 | точность_обучения=0.7030 | ошибка_валидации=0.6336 | точность_валидации=0.7079 | precision=0.6947 | recall=0.7416 | ROC-AUC=0.7585
ResNet101 | эпоха 042/400 | ошибка_обучения=0.5663 | точность_обучения=0.7030 | ошибка_валидации=0.5981 | точность_валидации=0.6966 | precision=0.6768 | recall=0.7528 | ROC-AUC=0.7769
ResNet101 | эпоха 043/400 | ошибка_обучения=0.5643 | точность_обучения=0.7143 | ошибка_валидации=0.6408 | точность_валидации=0.7079 | precision=0.7176 | recall=0.6854 | ROC-AUC=0.7479
ResNet101 | эпоха 044/400 | ошибка_обучения=0.5628 | точность_обучения=0.7143 | ошибка_валидации=0.6291 | точность_валидации=0.7191 | precision=0.7241 | recall=0.7079 | ROC-AUC=0.7726
ResNet101 | эпоха 045/400 | ошибка_обучения=0.5804 | точность_обучения=0.7199 | ошибка_валидации=0.6487 | точность_валидации=0.6573 | precision=0.6522 | recall=0.6742 | ROC-AUC=0.7283
ResNet101 | эпоха 046/400 | ошибка_обучения=0.5581 | точность_обучения=0.7068 | ошибка_валидации=0.5720 | точность_валидации=0.6798 | precision=0.6509 | recall=0.7753 | ROC-AUC=0.7960
ResNet101 | эпоха 047/400 | ошибка_обучения=0.5767 | точность_обучения=0.7162 | ошибка_валидации=0.5800 | точность_валидации=0.7303 | precision=0.7253 | recall=0.7416 | ROC-AUC=0.8004
ResNet101 | эпоха 048/400 | ошибка_обучения=0.5582 | точность_обучения=0.7350 | ошибка_валидации=0.5775 | точность_валидации=0.7191 | precision=0.7241 | recall=0.7079 | ROC-AUC=0.7917
ResNet101 | эпоха 049/400 | ошибка_обучения=0.5728 | точность_обучения=0.6880 | ошибка_валидации=0.5801 | точность_валидации=0.7135 | precision=0.7262 | recall=0.6854 | ROC-AUC=0.7830
ResNet101 | эпоха 050/400 | ошибка_обучения=0.5491 | точность_обучения=0.7331 | ошибка_валидации=0.6128 | точность_валидации=0.6854 | precision=0.6737 | recall=0.7191 | ROC-AUC=0.7640
ResNet101 | эпоха 051/400 | ошибка_обучения=0.5577 | точность_обучения=0.6974 | ошибка_валидации=0.5907 | точность_валидации=0.7135 | precision=0.7159 | recall=0.7079 | ROC-AUC=0.7797
ResNet101 | эпоха 052/400 | ошибка_обучения=0.5446 | точность_обучения=0.7293 | ошибка_валидации=0.5863 | точность_валидации=0.7135 | precision=0.7262 | recall=0.6854 | ROC-AUC=0.7879
ResNet101 | эпоха 053/400 | ошибка_обучения=0.5604 | точность_обучения=0.7312 | ошибка_валидации=0.6328 | точность_валидации=0.6910 | precision=0.6932 | recall=0.6854 | ROC-AUC=0.7365
ResNet101 | эпоха 054/400 | ошибка_обучения=0.5496 | точность_обучения=0.7462 | ошибка_валидации=0.5602 | точность_валидации=0.7247 | precision=0.7128 | recall=0.7528 | ROC-AUC=0.8109
ResNet101 | эпоха 055/400 | ошибка_обучения=0.5664 | точность_обучения=0.6955 | ошибка_валидации=0.6237 | точность_валидации=0.6854 | precision=0.7089 | recall=0.6292 | ROC-AUC=0.7696
ResNet101 | эпоха 056/400 | ошибка_обучения=0.5477 | точность_обучения=0.7387 | ошибка_валидации=0.5806 | точность_валидации=0.7191 | precision=0.7191 | recall=0.7191 | ROC-AUC=0.7879
ResNet101 | эпоха 057/400 | ошибка_обучения=0.5780 | точность_обучения=0.6974 | ошибка_валидации=0.6091 | точность_валидации=0.7135 | precision=0.7111 | recall=0.7191 | ROC-AUC=0.7810
ResNet101 | эпоха 058/400 | ошибка_обучения=0.5512 | точность_обучения=0.7331 | ошибка_валидации=0.5676 | точность_валидации=0.7191 | precision=0.7241 | recall=0.7079 | ROC-AUC=0.8015
ResNet101 | эпоха 059/400 | ошибка_обучения=0.5493 | точность_обучения=0.7293 | ошибка_валидации=0.5681 | точность_валидации=0.6966 | precision=0.6733 | recall=0.7640 | ROC-AUC=0.8005
ResNet101 | эпоха 060/400 | ошибка_обучения=0.5560 | точность_обучения=0.7406 | ошибка_валидации=0.6305 | точность_валидации=0.6910 | precision=0.7024 | recall=0.6629 | ROC-AUC=0.7534
ResNet101 | эпоха 061/400 | ошибка_обучения=0.5672 | точность_обучения=0.7011 | ошибка_валидации=0.5617 | точность_валидации=0.7303 | precision=0.7253 | recall=0.7416 | ROC-AUC=0.7956
ResNet101 | эпоха 062/400 | ошибка_обучения=0.5482 | точность_обучения=0.7256 | ошибка_валидации=0.6209 | точность_валидации=0.7416 | precision=0.7529 | recall=0.7191 | ROC-AUC=0.7648
ResNet101 | эпоха 063/400 | ошибка_обучения=0.5420 | точность_обучения=0.7274 | ошибка_валидации=0.5648 | точность_валидации=0.6910 | precision=0.6809 | recall=0.7191 | ROC-AUC=0.7930
ResNet101 | эпоха 064/400 | ошибка_обучения=0.5395 | точность_обучения=0.7368 | ошибка_валидации=0.6065 | точность_валидации=0.7135 | precision=0.7209 | recall=0.6966 | ROC-AUC=0.7745
ResNet101 | эпоха 065/400 | ошибка_обучения=0.5639 | точность_обучения=0.7180 | ошибка_валидации=0.6114 | точность_валидации=0.7360 | precision=0.7333 | recall=0.7416 | ROC-AUC=0.7744
ResNet101 | эпоха 066/400 | ошибка_обучения=0.5483 | точность_обучения=0.7256 | ошибка_валидации=0.5914 | точность_валидации=0.7135 | precision=0.6979 | recall=0.7528 | ROC-AUC=0.7725
ResNet101 | эпоха 067/400 | ошибка_обучения=0.5675 | точность_обучения=0.7199 | ошибка_валидации=0.6372 | точность_валидации=0.6798 | precision=0.6778 | recall=0.6854 | ROC-AUC=0.7503
ResNet101 | эпоха 068/400 | ошибка_обучения=0.5410 | точность_обучения=0.7293 | ошибка_валидации=0.5690 | точность_валидации=0.7247 | precision=0.7326 | recall=0.7079 | ROC-AUC=0.7967
ResNet101 | эпоха 069/400 | ошибка_обучения=0.5419 | точность_обучения=0.7180 | ошибка_валидации=0.5692 | точность_валидации=0.7079 | precision=0.6989 | recall=0.7303 | ROC-AUC=0.7986
ResNet101 | эпоха 070/400 | ошибка_обучения=0.5445 | точность_обучения=0.7462 | ошибка_валидации=0.6059 | точность_валидации=0.7247 | precision=0.7778 | recall=0.6292 | ROC-AUC=0.7883
ResNet101 | эпоха 071/400 | ошибка_обучения=0.5486 | точность_обучения=0.7143 | ошибка_валидации=0.5724 | точность_валидации=0.7191 | precision=0.7349 | recall=0.6854 | ROC-AUC=0.8023
ResNet101 | эпоха 072/400 | ошибка_обучения=0.5412 | точность_обучения=0.7199 | ошибка_валидации=0.5560 | точность_валидации=0.7191 | precision=0.6970 | recall=0.7753 | ROC-AUC=0.8023
ResNet101 | эпоха 073/400 | ошибка_обучения=0.5472 | точность_обучения=0.7162 | ошибка_валидации=0.5996 | точность_валидации=0.7022 | precision=0.6875 | recall=0.7416 | ROC-AUC=0.7706
ResNet101 | эпоха 074/400 | ошибка_обучения=0.5360 | точность_обучения=0.7481 | ошибка_валидации=0.5533 | точность_валидации=0.7079 | precision=0.6947 | recall=0.7416 | ROC-AUC=0.8075
ResNet101 | эпоха 075/400 | ошибка_обучения=0.5786 | точность_обучения=0.7218 | ошибка_валидации=0.5846 | точность_валидации=0.7247 | precision=0.7174 | recall=0.7416 | ROC-AUC=0.7978
ResNet101 | эпоха 076/400 | ошибка_обучения=0.5504 | точность_обучения=0.7143 | ошибка_валидации=0.6028 | точность_валидации=0.7079 | precision=0.6947 | recall=0.7416 | ROC-AUC=0.7777
ResNet101 | эпоха 077/400 | ошибка_обучения=0.5368 | точность_обучения=0.7274 | ошибка_валидации=0.6390 | точность_валидации=0.6966 | precision=0.6768 | recall=0.7528 | ROC-AUC=0.7491
ResNet101 | эпоха 078/400 | ошибка_обучения=0.5295 | точность_обучения=0.7350 | ошибка_валидации=0.5550 | точность_валидации=0.7303 | precision=0.7356 | recall=0.7191 | ROC-AUC=0.8072
ResNet101 | эпоха 079/400 | ошибка_обучения=0.5425 | точность_обучения=0.7143 | ошибка_валидации=0.5508 | точность_валидации=0.6966 | precision=0.6733 | recall=0.7640 | ROC-AUC=0.8158
ResNet101 | эпоха 080/400 | ошибка_обучения=0.5342 | точность_обучения=0.7293 | ошибка_валидации=0.6265 | точность_валидации=0.6910 | precision=0.6809 | recall=0.7191 | ROC-AUC=0.7499
ResNet101 | эпоха 081/400 | ошибка_обучения=0.5207 | точность_обучения=0.7481 | ошибка_валидации=0.6133 | точность_валидации=0.7135 | precision=0.6863 | recall=0.7865 | ROC-AUC=0.7677
ResNet101 | эпоха 082/400 | ошибка_обучения=0.5461 | точность_обучения=0.7199 | ошибка_валидации=0.5483 | точность_валидации=0.7135 | precision=0.6863 | recall=0.7865 | ROC-AUC=0.8191
ResNet101 | эпоха 083/400 | ошибка_обучения=0.5414 | точность_обучения=0.7406 | ошибка_валидации=0.5779 | точность_валидации=0.7135 | precision=0.6939 | recall=0.7640 | ROC-AUC=0.7882
ResNet101 | эпоха 084/400 | ошибка_обучения=0.5562 | точность_обучения=0.7256 | ошибка_валидации=0.5884 | точность_валидации=0.6910 | precision=0.6848 | recall=0.7079 | ROC-AUC=0.7947
ResNet101 | эпоха 085/400 | ошибка_обучения=0.5438 | точность_обучения=0.7368 | ошибка_валидации=0.5550 | точность_валидации=0.6910 | precision=0.6667 | recall=0.7640 | ROC-AUC=0.8101
ResNet101 | эпоха 086/400 | ошибка_обучения=0.5289 | точность_обучения=0.7350 | ошибка_валидации=0.5826 | точность_валидации=0.6910 | precision=0.7073 | recall=0.6517 | ROC-AUC=0.7908
ResNet101 | эпоха 087/400 | ошибка_обучения=0.5423 | точность_обучения=0.7274 | ошибка_валидации=0.5836 | точность_валидации=0.7247 | precision=0.7000 | recall=0.7865 | ROC-AUC=0.8020
ResNet101 | эпоха 088/400 | ошибка_обучения=0.5677 | точность_обучения=0.6992 | ошибка_валидации=0.5650 | точность_валидации=0.7247 | precision=0.7500 | recall=0.6742 | ROC-AUC=0.7925
ResNet101 | эпоха 089/400 | ошибка_обучения=0.5503 | точность_обучения=0.7387 | ошибка_валидации=0.6041 | точность_валидации=0.6854 | precision=0.6737 | recall=0.7191 | ROC-AUC=0.7803
ResNet101 | эпоха 090/400 | ошибка_обучения=0.5276 | точность_обучения=0.7350 | ошибка_валидации=0.5638 | точность_валидации=0.7303 | precision=0.7356 | recall=0.7191 | ROC-AUC=0.8036
ResNet101 | эпоха 091/400 | ошибка_обучения=0.5369 | точность_обучения=0.7218 | ошибка_валидации=0.6027 | точность_валидации=0.7191 | precision=0.6931 | recall=0.7865 | ROC-AUC=0.7827
ResNet101 | эпоха 092/400 | ошибка_обучения=0.5274 | точность_обучения=0.7613 | ошибка_валидации=0.5803 | точность_валидации=0.7191 | precision=0.7097 | recall=0.7416 | ROC-AUC=0.7947
ResNet101 | эпоха 093/400 | ошибка_обучения=0.5131 | точность_обучения=0.7556 | ошибка_валидации=0.5430 | точность_валидации=0.7022 | precision=0.6800 | recall=0.7640 | ROC-AUC=0.8171
ResNet101 | эпоха 094/400 | ошибка_обучения=0.5267 | точность_обучения=0.7350 | ошибка_валидации=0.5591 | точность_валидации=0.7022 | precision=0.6800 | recall=0.7640 | ROC-AUC=0.8042
ResNet101 | эпоха 095/400 | ошибка_обучения=0.5258 | точность_обучения=0.7350 | ошибка_валидации=0.5417 | точность_валидации=0.7022 | precision=0.6957 | recall=0.7191 | ROC-AUC=0.8180
ResNet101 | эпоха 096/400 | ошибка_обучения=0.5359 | точность_обучения=0.7180 | ошибка_валидации=0.5423 | точность_валидации=0.7303 | precision=0.6952 | recall=0.8202 | ROC-AUC=0.8130
ResNet101 | эпоха 097/400 | ошибка_обучения=0.5263 | точность_обучения=0.7425 | ошибка_валидации=0.5565 | точность_валидации=0.7191 | precision=0.7241 | recall=0.7079 | ROC-AUC=0.7948
ResNet101 | эпоха 098/400 | ошибка_обучения=0.5367 | точность_обучения=0.7350 | ошибка_валидации=0.5558 | точность_валидации=0.7360 | precision=0.7283 | recall=0.7528 | ROC-AUC=0.8086
ResNet101 | эпоха 099/400 | ошибка_обучения=0.5215 | точность_обучения=0.7387 | ошибка_валидации=0.5715 | точность_валидации=0.7191 | precision=0.7349 | recall=0.6854 | ROC-AUC=0.8049
ResNet101 | эпоха 100/400 | ошибка_обучения=0.5272 | точность_обучения=0.7237 | ошибка_валидации=0.5852 | точность_валидации=0.7303 | precision=0.7158 | recall=0.7640 | ROC-AUC=0.7971
ResNet101 | эпоха 101/400 | ошибка_обучения=0.5251 | точность_обучения=0.7331 | ошибка_валидации=0.5491 | точность_валидации=0.7303 | precision=0.7204 | recall=0.7528 | ROC-AUC=0.8181
ResNet101 | эпоха 102/400 | ошибка_обучения=0.5314 | точность_обучения=0.7274 | ошибка_валидации=0.5425 | точность_валидации=0.7303 | precision=0.7303 | recall=0.7303 | ROC-AUC=0.8121
ResNet101 | эпоха 103/400 | ошибка_обучения=0.5196 | точность_обучения=0.7556 | ошибка_валидации=0.5415 | точность_валидации=0.7191 | precision=0.7010 | recall=0.7640 | ROC-AUC=0.8120
ResNet101 | эпоха 104/400 | ошибка_обучения=0.5342 | точность_обучения=0.7444 | ошибка_валидации=0.6036 | точность_валидации=0.6966 | precision=0.6842 | recall=0.7303 | ROC-AUC=0.7728
ResNet101 | эпоха 105/400 | ошибка_обучения=0.5210 | точность_обучения=0.7594 | ошибка_валидации=0.6005 | точность_валидации=0.7079 | precision=0.7033 | recall=0.7191 | ROC-AUC=0.7851
ResNet101 | эпоха 106/400 | ошибка_обучения=0.5211 | точность_обучения=0.7312 | ошибка_валидации=0.5336 | точность_валидации=0.7303 | precision=0.7113 | recall=0.7753 | ROC-AUC=0.8129
ResNet101 | эпоха 107/400 | ошибка_обучения=0.5200 | точность_обучения=0.7274 | ошибка_валидации=0.5479 | точность_валидации=0.7135 | precision=0.6827 | recall=0.7978 | ROC-AUC=0.8133
ResNet101 | эпоха 108/400 | ошибка_обучения=0.5183 | точность_обучения=0.7538 | ошибка_валидации=0.5439 | точность_валидации=0.7022 | precision=0.6837 | recall=0.7528 | ROC-AUC=0.8157
ResNet101 | эпоха 109/400 | ошибка_обучения=0.5080 | точность_обучения=0.7575 | ошибка_валидации=0.5503 | точность_валидации=0.7191 | precision=0.7407 | recall=0.6742 | ROC-AUC=0.8053
ResNet101 | эпоха 110/400 | ошибка_обучения=0.5309 | точность_обучения=0.7519 | ошибка_валидации=0.5611 | точность_валидации=0.7191 | precision=0.7053 | recall=0.7528 | ROC-AUC=0.8097
ResNet101 | эпоха 111/400 | ошибка_обучения=0.5442 | точность_обучения=0.7105 | ошибка_валидации=0.5813 | точность_валидации=0.7191 | precision=0.7097 | recall=0.7416 | ROC-AUC=0.7978
ResNet101 | эпоха 112/400 | ошибка_обучения=0.5198 | точность_обучения=0.7387 | ошибка_валидации=0.5833 | точность_валидации=0.7191 | precision=0.7097 | recall=0.7416 | ROC-AUC=0.7922
ResNet101 | эпоха 113/400 | ошибка_обучения=0.5085 | точность_обучения=0.7613 | ошибка_валидации=0.6055 | точность_валидации=0.7247 | precision=0.7174 | recall=0.7416 | ROC-AUC=0.8007
ResNet101 | эпоха 114/400 | ошибка_обучения=0.5150 | точность_обучения=0.7632 | ошибка_валидации=0.5379 | точность_валидации=0.7191 | precision=0.7097 | recall=0.7416 | ROC-AUC=0.8289
ResNet101 | эпоха 115/400 | ошибка_обучения=0.5294 | точность_обучения=0.7444 | ошибка_валидации=0.6185 | точность_валидации=0.7135 | precision=0.6863 | recall=0.7865 | ROC-AUC=0.7720
ResNet101 | эпоха 116/400 | ошибка_обучения=0.5398 | точность_обучения=0.7124 | ошибка_валидации=0.5394 | точность_валидации=0.7191 | precision=0.6931 | recall=0.7865 | ROC-AUC=0.8135
ResNet101 | эпоха 117/400 | ошибка_обучения=0.5189 | точность_обучения=0.7387 | ошибка_валидации=0.5409 | точность_валидации=0.7191 | precision=0.7010 | recall=0.7640 | ROC-AUC=0.8229
ResNet101 | эпоха 118/400 | ошибка_обучения=0.5271 | точность_обучения=0.7387 | ошибка_валидации=0.5551 | точность_валидации=0.7079 | precision=0.6832 | recall=0.7753 | ROC-AUC=0.8172
ResNet101 | эпоха 119/400 | ошибка_обучения=0.5227 | точность_обучения=0.7406 | ошибка_валидации=0.5526 | точность_валидации=0.6910 | precision=0.6667 | recall=0.7640 | ROC-AUC=0.8055
ResNet101 | эпоха 120/400 | ошибка_обучения=0.5143 | точность_обучения=0.7500 | ошибка_валидации=0.5456 | точность_валидации=0.7135 | precision=0.6863 | recall=0.7865 | ROC-AUC=0.8027
ResNet101 | эпоха 121/400 | ошибка_обучения=0.5108 | точность_обучения=0.7519 | ошибка_валидации=0.5977 | точность_валидации=0.6854 | precision=0.6813 | recall=0.6966 | ROC-AUC=0.7810
ResNet101 | эпоха 122/400 | ошибка_обучения=0.5014 | точность_обучения=0.7669 | ошибка_валидации=0.5912 | точность_валидации=0.7022 | precision=0.6636 | recall=0.8202 | ROC-AUC=0.7764
ResNet101 | эпоха 123/400 | ошибка_обучения=0.5330 | точность_обучения=0.7274 | ошибка_валидации=0.5382 | точность_валидации=0.7079 | precision=0.6832 | recall=0.7753 | ROC-AUC=0.8134
ResNet101 | эпоха 124/400 | ошибка_обучения=0.5103 | точность_обучения=0.7462 | ошибка_валидации=0.5388 | точность_валидации=0.7191 | precision=0.6893 | recall=0.7978 | ROC-AUC=0.8142
ResNet101 | эпоха 125/400 | ошибка_обучения=0.5053 | точность_обучения=0.7650 | ошибка_валидации=0.5592 | точность_валидации=0.7135 | precision=0.6610 | recall=0.8764 | ROC-AUC=0.7986
ResNet101 | эпоха 126/400 | ошибка_обучения=0.5159 | точность_обучения=0.7669 | ошибка_валидации=0.5421 | точность_валидации=0.7303 | precision=0.7113 | recall=0.7753 | ROC-AUC=0.8149
ResNet101 | эпоха 127/400 | ошибка_обучения=0.5251 | точность_обучения=0.7444 | ошибка_валидации=0.5673 | точность_валидации=0.7135 | precision=0.6900 | recall=0.7753 | ROC-AUC=0.7950
ResNet101 | эпоха 128/400 | ошибка_обучения=0.5309 | точность_обучения=0.7519 | ошибка_валидации=0.5830 | точность_валидации=0.7135 | precision=0.6939 | recall=0.7640 | ROC-AUC=0.7965
ResNet101 | эпоха 129/400 | ошибка_обучения=0.4964 | точность_обучения=0.7801 | ошибка_валидации=0.5413 | точность_валидации=0.7022 | precision=0.6731 | recall=0.7865 | ROC-AUC=0.8077
ResNet101 | эпоха 130/400 | ошибка_обучения=0.5123 | точность_обучения=0.7331 | ошибка_валидации=0.5658 | точность_валидации=0.7191 | precision=0.7053 | recall=0.7528 | ROC-AUC=0.8072
ResNet101 | эпоха 131/400 | ошибка_обучения=0.5010 | точность_обучения=0.7444 | ошибка_валидации=0.5877 | точность_валидации=0.7191 | precision=0.6931 | recall=0.7865 | ROC-AUC=0.7986
ResNet101 | эпоха 132/400 | ошибка_обучения=0.5303 | точность_обучения=0.7350 | ошибка_валидации=0.5997 | точность_валидации=0.7022 | precision=0.6765 | recall=0.7753 | ROC-AUC=0.7904
ResNet101 | эпоха 133/400 | ошибка_обучения=0.5108 | точность_обучения=0.7594 | ошибка_валидации=0.5879 | точность_валидации=0.7135 | precision=0.6939 | recall=0.7640 | ROC-AUC=0.7926
ResNet101 | эпоха 134/400 | ошибка_обучения=0.5308 | точность_обучения=0.7256 | ошибка_валидации=0.5301 | точность_валидации=0.7360 | precision=0.7100 | recall=0.7978 | ROC-AUC=0.8342
